column_name,mean,sd
block_145,0.0011337868480725624,0.03365265777699735
block_146,0.0008503401360544217,0.02914819132823573
block_147,0.0011337868480725624,0.03365265777699735
block_148,0.0011337868480725624,0.03365265777699736
block_149,0.0022675736961451248,0.04756502712789802
block_14A,0.0002834467120181406,0.016833489536622722
block_15,0.0011337868480725624,0.03365265777699736
block_150,0.0005668934240362812,0.023802774121561242
block_151,0.001417233560090703,0.037619476460031394
block_152,0.0017006802721088435,0.04120422258362489
block_153,0.0005668934240362812,0.02380277412156124
block_154,0.0017006802721088435,0.04120422258362488
block_155,0.0017006802721088435,0.04120422258362488
block_156,0.0011337868480725624,0.03365265777699735
block_157,0.0017006802721088435,0.04120422258362488
block_157B,0.0002834467120181406,0.016833489536622722
block_157D,0.0002834467120181406,0.016833489536622722
block_158,0.001417233560090703,0.03761947646003139
block_158C,0.0002834467120181406,0.016833489536622722
block_159,0.0005668934240362812,0.02380277412156124
block_16,0.001984126984126984,0.04449932835715438
block_160,0.0011337868480725624,0.03365265777699736
block_161,0.0011337868480725624,0.03365265777699736
block_161B,0.0002834467120181406,0.016833489536622722
block_162,0.0002834467120181406,0.016833489536622722
block_162A,0.0002834467120181406,0.016833489536622722
block_163,0.0017006802721088435,0.04120422258362488
block_163B,0.0002834467120181406,0.016833489536622722
block_164,0.0011337868480725624,0.03365265777699736
block_164A,0.0002834467120181406,0.016833489536622726
block_165,0.001417233560090703,0.037619476460031394
block_165A,0.0002834467120181406,0.016833489536622726
block_165B,0.0002834467120181406,0.016833489536622722
block_166,0.0,1.0
block_166A,0.0005668934240362812,0.023802774121561242
block_166B,0.001984126984126984,0.04449932835715438
block_167,0.0008503401360544217,0.02914819132823573
block_167A,0.0002834467120181406,0.016833489536622722
block_167C,0.0005668934240362812,0.023802774121561242
block_168,0.0005668934240362812,0.023802774121561242
block_168A,0.001417233560090703,0.037619476460031394
block_168B,0.0002834467120181406,0.016833489536622726
block_169,0.0005668934240362812,0.023802774121561242
block_169A,0.0002834467120181406,0.016833489536622722
block_169B,0.0002834467120181406,0.016833489536622722
block_17,0.0005668934240362812,0.023802774121561242
block_170,0.0005668934240362812,0.02380277412156124
block_170C,0.0005668934240362812,0.023802774121561242
block_171,0.0002834467120181406,0.016833489536622726
block_171A,0.0002834467120181406,0.016833489536622722
block_172,0.0005668934240362812,0.02380277412156124
block_172A,0.0002834467120181406,0.016833489536622722
block_172B,0.0002834467120181406,0.016833489536622722
block_173,0.0005668934240362812,0.023802774121561242
block_173D,0.0002834467120181406,0.016833489536622722
block_174A,0.0002834467120181406,0.016833489536622722
block_174B,0.0,1.0
block_174C,0.0002834467120181406,0.016833489536622722
block_175,0.0,1.0
block_175B,0.0005668934240362812,0.023802774121561242
block_175C,0.0002834467120181406,0.016833489536622722
block_175D,0.0002834467120181406,0.016833489536622726
block_176,0.0005668934240362812,0.023802774121561242
block_176A,0.0002834467120181406,0.016833489536622722
block_177,0.0008503401360544217,0.02914819132823573
block_178,0.0005668934240362812,0.02380277412156124
block_178B,0.0002834467120181406,0.016833489536622722
block_178C,0.0002834467120181406,0.016833489536622722
block_17B,0.0002834467120181406,0.016833489536622722
